flow_title,flow_notes,flow_account_name,flow_amount,flow_date_of_transaction,flow_time_of_transaction_optional,flow_date_of_transaction_iso_8601,flow_category_optional
Starbucks,,Efectivo,-8100.00,2026-07-08,11:55:32,,Bebidas
Proyecto puntual,,Principal,387330.00,2026-07-08,16:20:00,,Nómina
Spotify,,Principal,-7999.00,2026-07-09,00:03:21,,Suscripciones online
Cuervo café,,Principal,-5800.00,2026-07-09,08:49:14,,Bebidas
Jumbo,,Principal,-66614.00,2026-07-09,12:21:35,,Compra
OSDE copago,,Principal,-15205.00,2026-07-09,17:22:45,,Salud
Cabify,,Efectivo,-12036.00,2026-07-09,23:10:34,,Transporte
Café Martínez,,Principal,-6200.00,2026-07-10,10:11:39,,Bebidas
Donación mensual,Cruz Roja Argentina,Principal,-8000.00,2026-07-10,11:30:00,,Donaciones
Extracción efectivo,,Principal,-40000.00,2026-07-10,13:27:11,,
Extracción efectivo,,Efectivo,40000.00,2026-07-10,13:27:11,,
Guerrín,,Principal,-17887.00,2026-07-10,13:59:39,,Comer fuera
BA Taxi,,Efectivo,-15162.00,2026-07-10,16:55:11,,Transporte
Cinemark,,Principal,-14500.00,2026-07-10,21:14:43,,Entretenimiento
El Club de la Milanesa,,Efectivo,-38196.00,2026-07-11,13:14:39,,Comer fuera
Disco,,Principal,-106121.00,2026-07-11,18:50:02,,Compra
Colectivo,,Principal,-2389.00,2026-07-11,22:45:00,,Transporte
ChatGPT Plus,,Principal,-24900.00,2026-07-12,00:12:00,,Suscripciones online
Cinemark,,Principal,-14500.00,2026-07-12,21:01:43,,Entretenimiento
Starbucks,,Principal,-8100.00,2026-07-13,10:16:15,,Bebidas
Colectivo,,Principal,-1681.00,2026-07-13,17:56:55,,Transporte
Ninina,,Efectivo,-9200.00,2026-07-14,08:07:47,,Bebidas
Seguro del auto,,Principal,-86000.00,2026-07-14,10:00:00,,Seguros
Uber,,Principal,-11841.00,2026-07-14,22:32:37,,Transporte
BA Taxi,,Efectivo,-17093.00,2026-07-15,08:39:48,,Transporte
Café Martínez,,Principal,-6200.00,2026-07-15,10:56:05,,Bebidas
Freelance USD,Cliente en el exterior,Dólares,319.08,2026-07-15,17:40:00,,Nómina
Starbucks,,Principal,-8100.00,2026-07-16,08:36:42,,Bebidas
Reintegro OSDE,,Principal,15476.00,2026-07-16,11:05:00,,Nómina
Coto,,Principal,-106721.00,2026-07-16,16:58:32,,Compra
Havanna café,,Efectivo,-7400.00,2026-07-17,09:16:31,,Bebidas
Extracción efectivo,,Principal,-40000.00,2026-07-17,13:10:09,,
Extracción efectivo,,Efectivo,40000.00,2026-07-17,13:10:09,,
Colectivo,,Principal,-1636.00,2026-07-17,16:29:45,,Transporte
Personal móvil,,Principal,-28400.00,2026-07-18,09:45:00,,Suministros
Starbucks,,Principal,-8100.00,2026-07-18,11:59:41,,Bebidas
Shell,,Principal,-57497.00,2026-07-18,12:08:19,,Gasolina
Disco,,Principal,-60744.00,2026-07-18,16:11:31,,Compra
Zara,,Principal,-34007.00,2026-07-18,16:33:26,,Compras
Guerrín,,Principal,-56137.00,2026-07-18,20:55:21,,Comer fuera
SUBE subte,,Principal,-1237.00,2026-07-19,12:07:08,,Transporte
Guerrín,,Principal,-42270.00,2026-07-19,18:34:29,,Comer fuera
Flybondi AEP–BRC,,Principal,-186000.00,2026-07-20,06:40:00,,Viajes
Cuervo café,,Principal,-5800.00,2026-07-20,11:05:43,,Bebidas
Edenor luz,,Principal,-75169.00,2026-07-20,14:10:00,,Suministros
Heladería Chungo,,Efectivo,-5003.00,2026-07-20,17:07:52,,Aperitivos
Airbnb Bariloche,5 noches,Principal,-420000.00,2026-07-20,18:20:00,,Viajes
Havanna café,,Efectivo,-7400.00,2026-07-21,11:15:42,,Bebidas
Cerro Catedral day pass,,Principal,-62000.00,2026-07-21,11:23:06,,Entretenimiento
Colectivo,,Efectivo,-1604.00,2026-07-21,13:29:36,,Transporte
Cena El Boliche de Alberto,,Principal,-48000.00,2026-07-21,18:56:56,,Comer fuera
BA Taxi,,Principal,-11886.00,2026-07-22,07:48:17,,Transporte
Cuervo café,,Principal,-5800.00,2026-07-22,11:23:16,,Bebidas
Almuerzo Puerto Moreno,,Principal,-32500.00,2026-07-22,11:49:29,,Comer fuera
AySA agua,,Principal,-18500.00,2026-07-22,13:00:00,,Suministros
Souvenirs centro cívico,,Principal,-27800.00,2026-07-22,15:46:46,,Compras
Chocolate Rapa Nui,,Principal,-18400.00,2026-07-23,11:13:33,,Aperitivos
BA Taxi,,Efectivo,-16058.00,2026-07-23,16:25:53,,Transporte
Taxi Bariloche,,Principal,-9600.00,2026-07-23,20:05:56,,Transporte
Cena El Boliche de Alberto,,Principal,-51200.00,2026-07-24,13:28:15,,Comer fuera
SUBE subte,,Efectivo,-1617.00,2026-07-24,23:48:27,,Transporte
Havanna café,,Efectivo,-7400.00,2026-07-25,08:06:36,,Bebidas
Sueldo,,Principal,3215831.84,2026-07-25,09:15:00,,Nómina
Flybondi BRC–AEP,,Principal,-186000.00,2026-07-25,10:28:11,,Viajes
Extracción cajero,,Principal,-80000.00,2026-07-25,12:30:00,,
Extracción cajero,,Efectivo,80000.00,2026-07-25,12:30:00,,
Ahorro mensual,,Principal,-350000.00,2026-07-25,12:35:00,,
Ahorro mensual,,Ahorros,350000.00,2026-07-25,12:35:00,,
Hora extra,,Principal,368921.00,2026-07-25,14:32:01,,Nómina
Cinemark,,Principal,-14500.00,2026-07-25,17:40:14,,Entretenimiento
El Club de la Milanesa,,Efectivo,-50936.00,2026-07-25,21:49:28,,Comer fuera
Coto,,Principal,-54145.00,2026-07-26,13:34:11,,Compra
Veterinaria,,Principal,-29539.00,2026-07-26,15:03:50,,Cuidado de mascotas
Don Julio (barra),,Principal,-25562.00,2026-07-26,21:07:28,,Comer fuera
Starbucks,,Principal,-8100.00,2026-07-27,10:09:40,,Bebidas
Ninina,,Efectivo,-9200.00,2026-07-28,10:44:17,,Bebidas
Havanna café,,Principal,-7400.00,2026-07-29,09:07:51,,Bebidas
Colectivo,,Efectivo,-2398.00,2026-07-30,08:50:59,,Transporte
YPF,,Principal,-57609.00,2026-07-30,10:38:54,,Gasolina
Medialunas,,Efectivo,-10669.00,2026-07-30,16:38:51,,Aperitivos
Havanna café,,Principal,-7400.00,2026-07-31,08:59:22,,Bebidas
Steam oferta,,Principal,-8999.00,2026-07-31,15:48:38,,Entretenimiento
Interés caja de ahorro,,Ahorros,11470.04,2026-07-31,23:50:00,,Nómina
Alquiler departamento,"Palermo, CABA",Principal,-850000.00,2026-08-01,08:15:00,,Alquiler
Smart Fit,,Principal,-55000.00,2026-08-01,08:20:00,,Fitness
Cuervo café,,Efectivo,-5800.00,2026-08-01,10:09:58,,Bebidas
Burger King,,Principal,-28817.00,2026-08-01,12:01:45,,Comer fuera
Carrefour,,Principal,-80279.00,2026-08-01,14:35:58,,Compra
iCloud+,,Principal,-2499.00,2026-08-02,00:05:12,,Suscripciones online
Cuervo café,,Principal,-5800.00,2026-08-02,09:24:11,,Bebidas
BA Taxi,,Principal,-15965.00,2026-08-02,14:59:01,,Transporte
PedidosYa,,Principal,-42853.00,2026-08-02,16:21:18,,Comer fuera
Steam oferta,,Principal,-8999.00,2026-08-02,20:59:04,,Entretenimiento
Guerrín,,Principal,-16740.00,2026-08-03,19:00:22,,Comer fuera
Cuervo café,,Principal,-5800.00,2026-08-04,10:12:36,,Bebidas
El Club de la Milanesa,,Principal,-49584.00,2026-08-04,14:49:31,,Comer fuera
Uber,,Principal,-18252.00,2026-08-04,16:14:05,,Transporte
Netflix,,Principal,-12999.00,2026-08-05,00:08:40,,Suscripciones online
Cuervo café,,Principal,-5800.00,2026-08-05,08:45:22,,Bebidas
Uniqlo,,Principal,-35030.00,2026-08-05,12:54:25,,Compras
Farmacity higiene,,Principal,-7207.00,2026-08-05,13:39:41,,Higiene
Colectivo,,Principal,-2135.00,2026-08-05,21:32:41,,Transporte
Starbucks,,Principal,-8100.00,2026-08-06,08:56:21,,Bebidas
Fibertel internet,,Principal,-45000.00,2026-08-06,10:00:00,,Suministros
Medialunas,,Efectivo,-10722.00,2026-08-06,17:41:48,,Aperitivos
Café Martínez,,Principal,-6200.00,2026-08-07,08:48:53,,Bebidas
PedidosYa,,Principal,-22389.00,2026-08-07,14:26:28,,Comer fuera
Coto,,Principal,-71571.00,2026-08-08,12:57:14,,Compra
Guitar Center strings,,Principal,-18119.00,2026-08-08,15:03:58,,Aficiones
Cashback tarjeta,,Principal,79837.00,2026-08-08,15:34:53,,Nómina
Consultoría,,Principal,458790.00,2026-08-08,16:20:00,,Nómina
Regalo papá,Día del Padre,Principal,-38500.00,2026-08-08,17:56:56,,Regalos
Burger King,,Principal,-37296.00,2026-08-08,21:23:48,,Comer fuera
Spotify,,Principal,-7999.00,2026-08-09,00:03:21,,Suscripciones online
Uber,,Principal,-7290.00,2026-08-09,13:10:01,,Transporte
El Club de la Milanesa,,Principal,-30470.00,2026-08-09,18:00:09,,Comer fuera
Axion,,Principal,-51138.00,2026-08-10,10:57:09,,Gasolina
Donación mensual,Cruz Roja Argentina,Principal,-8000.00,2026-08-10,11:30:00,,Donaciones
Colectivo,,Principal,-1630.00,2026-08-10,19:56:32,,Transporte
Cuervo café,,Principal,-5800.00,2026-08-11,09:48:26,,Bebidas
Cashback tarjeta,,Principal,56276.00,2026-08-11,13:22:28,,Nómina
Monotributo,,Principal,-52000.00,2026-08-11,16:00:00,,Impuestos
Lego,,Principal,-12817.00,2026-08-11,20:41:28,,Aficiones
ChatGPT Plus,,Principal,-24900.00,2026-08-12,00:12:00,,Suscripciones online
Starbucks,,Principal,-8100.00,2026-08-12,11:22:43,,Bebidas
Museo MALBA,,Principal,-6000.00,2026-08-12,20:02:33,,Entretenimiento
Axion,,Principal,-53725.00,2026-08-13,13:48:38,,Gasolina
SUBE subte,,Efectivo,-1743.00,2026-08-13,14:38:27,,Transporte
Reintegro PedidosYa,,Principal,24644.00,2026-08-13,16:46:03,,Nómina
Café Martínez,,Principal,-6200.00,2026-08-14,11:15:47,,Bebidas
Freelance USD,Cliente en el exterior,Dólares,313.99,2026-08-15,17:40:00,,Nómina
YPF,,Principal,-48606.00,2026-08-15,18:41:51,,Gasolina
Partido River,,Principal,-42000.00,2026-08-15,21:57:30,,Entretenimiento
Reintegro OSDE,,Principal,20749.00,2026-08-16,11:05:00,,Nómina
Disco,,Principal,-61315.00,2026-08-16,11:50:14,,Compra
Supermercado limpieza,,Principal,-15377.00,2026-08-16,12:05:19,,Higiene
Alimento Royal Canin,,Principal,-37881.00,2026-08-16,16:30:30,,Cuidado de mascotas
Havanna café,,Principal,-7400.00,2026-08-17,08:29:25,,Bebidas
Cabify,,Principal,-7800.00,2026-08-17,10:37:09,,Transporte
Venta Mercado Libre,,Principal,73347.00,2026-08-17,20:14:59,,Nómina
Havanna café,,Principal,-7400.00,2026-08-18,09:21:26,,Bebidas
Personal móvil,,Principal,-28400.00,2026-08-18,09:45:00,,Suministros
Heladería Chungo,,Principal,-8459.00,2026-08-18,16:12:18,,Aperitivos
Farmacia dermocosmética,,Principal,-36080.00,2026-08-19,11:35:55,,Belleza
Don Julio (barra),,Principal,-48337.00,2026-08-19,21:33:56,,Comer fuera
Edenor luz,,Principal,-75593.00,2026-08-20,14:10:00,,Suministros
Uniqlo,,Principal,-63123.00,2026-08-21,19:02:43,,Compras
AySA agua,,Principal,-18500.00,2026-08-22,13:00:00,,Suministros
Alimento Royal Canin,,Principal,-32384.00,2026-08-22,13:41:36,,Cuidado de mascotas
Siga la Vaca,,Principal,-20771.00,2026-08-22,13:58:41,,Comer fuera
Ninina,,Principal,-9200.00,2026-08-23,10:34:31,,Bebidas
BA Taxi,,Principal,-14413.00,2026-08-23,20:42:47,,Transporte
PedidosYa,,Principal,-24958.00,2026-08-23,22:36:03,,Comer fuera
Mostaza,,Principal,-31835.00,2026-08-24,20:16:57,,Comer fuera
Sueldo,,Principal,3182399.24,2026-08-25,09:15:00,,Nómina
Ninina,,Principal,-9200.00,2026-08-25,11:14:30,,Bebidas
Extracción cajero,,Principal,-80000.00,2026-08-25,12:30:00,,
Extracción cajero,,Efectivo,80000.00,2026-08-25,12:30:00,,
BA Taxi,,Principal,-10304.00,2026-08-25,12:30:11,,Transporte
Ahorro mensual,,Principal,-350000.00,2026-08-25,12:35:00,,
Ahorro mensual,,Ahorros,350000.00,2026-08-25,12:35:00,,
Proyecto puntual,,Principal,247057.00,2026-08-25,16:40:43,,Nómina
Cuervo café,,Efectivo,-5800.00,2026-08-26,11:13:21,,Bebidas
Burger King,,Efectivo,-22798.00,2026-08-26,19:57:01,,Comer fuera
Cabify,,Efectivo,-16561.00,2026-08-26,21:34:26,,Transporte
Corte de pelo,,Principal,-21953.00,2026-08-27,12:37:07,,Belleza
Axion,,Principal,-42605.00,2026-08-27,17:19:55,,Gasolina
SUBE subte,,Principal,-1651.00,2026-08-28,13:30:02,,Transporte
BA Taxi,,Efectivo,-12837.00,2026-08-29,11:21:02,,Transporte
Burger King,,Principal,-28982.00,2026-08-29,16:10:51,,Comer fuera
Café Martínez,,Principal,-6200.00,2026-08-30,09:07:39,,Bebidas
Rappi,,Principal,-42572.00,2026-08-30,14:20:58,,Comer fuera
Libros Gandhi,,Principal,-43725.00,2026-08-30,21:09:06,,Aficiones
Supermercado limpieza,,Principal,-18141.00,2026-08-31,12:31:18,,Higiene
YPF,,Principal,-51872.00,2026-08-31,15:53:51,,Gasolina
Interés caja de ahorro,,Ahorros,12626.74,2026-08-31,23:50:00,,Nómina
Alquiler departamento,"Palermo, CABA",Principal,-850000.00,2026-09-01,08:15:00,,Alquiler
Smart Fit,,Principal,-55000.00,2026-09-01,08:20:00,,Fitness
Havanna café,,Principal,-7400.00,2026-09-01,10:09:42,,Bebidas
BA Taxi,,Efectivo,-16615.00,2026-09-01,17:30:57,,Transporte
El Club de la Milanesa,,Principal,-26373.00,2026-09-01,19:14:40,,Comer fuera
iCloud+,,Principal,-2499.00,2026-09-02,00:05:12,,Suscripciones online
Disco,,Principal,-82654.00,2026-09-02,15:52:17,,Compra
Uber,,Principal,-9989.00,2026-09-02,16:34:30,,Transporte
YPF,,Principal,-38608.00,2026-09-02,16:35:31,,Gasolina
Ninina,,Principal,-9200.00,2026-09-03,10:17:07,,Bebidas
Día,,Principal,-82277.00,2026-09-03,18:47:23,,Compra
Extracción efectivo,,Principal,-40000.00,2026-09-04,13:15:11,,
Extracción efectivo,,Efectivo,40000.00,2026-09-04,13:15:11,,
El Club de la Milanesa,,Principal,-29356.00,2026-09-04,17:12:17,,Comer fuera
Netflix,,Principal,-12999.00,2026-09-05,00:08:40,,Suscripciones online
Cuervo café,,Efectivo,-5800.00,2026-09-05,10:30:15,,Bebidas
Rappi,,Principal,-47244.00,2026-09-05,15:24:28,,Comer fuera
Fibertel internet,,Principal,-45000.00,2026-09-06,10:00:00,,Suministros
YPF,,Principal,-46824.00,2026-09-06,10:12:06,,Gasolina
Mercado Libre,,Principal,-51491.00,2026-09-06,20:12:39,,Compras
Farmacia dermocosmética,,Principal,-28850.00,2026-09-07,15:48:42,,Belleza
Recital Niceto,,Principal,-28000.00,2026-09-07,16:07:00,,Entretenimiento
BA Taxi,,Efectivo,-12486.00,2026-09-07,21:04:57,,Transporte
Ninina,,Principal,-9200.00,2026-09-08,08:12:20,,Bebidas
Freelance diseño,,Principal,268532.00,2026-09-08,16:20:00,,Nómina
Cabify,,Principal,-13852.00,2026-09-08,20:55:15,,Transporte
Spotify,,Principal,-7999.00,2026-09-09,00:03:21,,Suscripciones online
Donación mensual,Cruz Roja Argentina,Principal,-8000.00,2026-09-10,11:30:00,,Donaciones
Extracción efectivo,,Principal,-40000.00,2026-09-11,12:03:43,,
Extracción efectivo,,Efectivo,40000.00,2026-09-11,12:03:43,,
ChatGPT Plus,,Principal,-24900.00,2026-09-12,00:12:00,,Suscripciones online
Jumbo,,Principal,-127484.00,2026-09-12,12:03:17,,Compra
Cabify,,Principal,-10340.00,2026-09-12,12:11:17,,Transporte
Coto,,Principal,-42526.00,2026-09-13,14:29:14,,Compra
Cuervo café,,Efectivo,-5800.00,2026-09-14,08:43:07,,Bebidas
El Club de la Milanesa,,Principal,-29973.00,2026-09-14,18:03:21,,Comer fuera
Panadería,,Efectivo,-4811.00,2026-09-14,19:42:46,,Aperitivos
